Marca temporal,¿Con que frecuencia acude al restaurante BBQ real smoke?,¿Suelo estar menos de una hora en la mesa en la que aliza su reserva?,¿Suelo estar mas de dos horas en la mesa?,¿El tiempo de espera en la fila suele ser excesivo?,¿El tiempo de espera por la comida fue corto?,¿El tiempo de espera es acorde a la cantidad de mesas vacías?,¿El trato del  personal es apropiado ?,¿El trato del  personal es cortes y servicial?  ,¿Esta de acuerdo con implementar una alerta  para que el cliente se presente 10 minutos antes de la reserva?,"¿En caso de ser así, considera que deberian tener una manera de notificarle al cliente que la proxima reserva empieza 10 minutos para evitar momentos incomodos?"
21/05/2024 13:41:23,B) un poco frecuente,C) Mas o Menos,A) De acuerdo,C) Mas o Menos,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo
21/05/2024 13:42:28,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo
21/05/2024 13:43:56,A) frecuentemente,A) De acuerdo,B) un poco de acuerdo,A) De acuerdo,A) De acuerdo,E) En desacuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo
21/05/2024 13:44:36,A) frecuentemente,A) De acuerdo,A) De acuerdo,A) De acuerdo,C) Mas o Menos,E) En desacuerdo,A) De acuerdo,C) Mas o Menos,B) un poco de acuerdo,B) un poco de acuerdo
21/05/2024 13:45:35,C) Mas o Menos,A) De acuerdo,C) Mas o Menos,A) De acuerdo,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,C) Mas o Menos,B) un poco de acuerdo,C) Mas o Menos
21/05/2024 13:47:33,D) algunas veces,C) Mas o Menos,A) De acuerdo,A) De acuerdo,C) Mas o Menos,D) un poco en desacuerdo,C) Mas o Menos,C) Mas o Menos,B) un poco de acuerdo,B) un poco de acuerdo
21/05/2024 13:49:06,B) un poco frecuente,E) En desacuerdo,B) un poco de acuerdo,A) De acuerdo,C) Mas o Menos,D) un poco en desacuerdo,B) un poco de acuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
21/05/2024 13:51:55,A) frecuentemente,E) En desacuerdo,A) De acuerdo,A) De acuerdo,D) un poco en desacuerdo,E) En desacuerdo,B) un poco de acuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
21/05/2024 13:54:04,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,B) un poco de acuerdo,E) En desacuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,A) De acuerdo,C) Mas o Menos
21/05/2024 13:56:25,D) algunas veces,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,C) Mas o Menos,E) En desacuerdo,C) Mas o Menos,C) Mas o Menos,A) De acuerdo,B) un poco de acuerdo
21/05/2024 13:57:35,B) un poco frecuente,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
21/05/2024 13:59:46,B) un poco frecuente,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,C) Mas o Menos,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
21/05/2024 14:11:14,A) frecuentemente,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,C) Mas o Menos,A) De acuerdo,A) De acuerdo,A) De acuerdo,E) En desacuerdo,A) De acuerdo
21/05/2024 16:14:06,B) un poco frecuente,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,A) De acuerdo,B) un poco de acuerdo
21/05/2024 16:15:43,E) casi nunca,A) De acuerdo,D) un poco en desacuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,E) En desacuerdo,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,D) un poco en desacuerdo
21/05/2024 16:16:03,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos
21/05/2024 16:17:48,A) frecuentemente,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,E) En desacuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo
21/05/2024 16:18:43,E) casi nunca,A) De acuerdo,E) En desacuerdo,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo,E) En desacuerdo,E) En desacuerdo,D) un poco en desacuerdo,E) En desacuerdo
21/05/2024 16:20:44,B) un poco frecuente,E) En desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,A) De acuerdo,C) Mas o Menos,B) un poco de acuerdo,D) un poco en desacuerdo,D) un poco en desacuerdo
21/05/2024 16:23:02,B) un poco frecuente,E) En desacuerdo,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,C) Mas o Menos
21/05/2024 16:24:40,E) casi nunca,A) De acuerdo,A) De acuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,E) En desacuerdo,A) De acuerdo,A) De acuerdo,B) un poco de acuerdo,C) Mas o Menos
21/05/2024 16:25:31,C) Mas o Menos,B) un poco de acuerdo,D) un poco en desacuerdo,A) De acuerdo,C) Mas o Menos,D) un poco en desacuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
21/05/2024 16:32:59,A) frecuentemente,C) Mas o Menos,B) un poco de acuerdo,B) un poco de acuerdo,A) De acuerdo,C) Mas o Menos,A) De acuerdo,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo
22/05/2024 16:15:52,A) frecuentemente,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,A) De acuerdo,A) De acuerdo,B) un poco de acuerdo
22/05/2024 16:17:49,E) casi nunca,A) De acuerdo,E) En desacuerdo,C) Mas o Menos,B) un poco de acuerdo,E) En desacuerdo,C) Mas o Menos,C) Mas o Menos,D) un poco en desacuerdo,D) un poco en desacuerdo
23/05/2024 13:30:21,A) frecuentemente,A) De acuerdo,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo,E) En desacuerdo,E) En desacuerdo,E) En desacuerdo,E) En desacuerdo
23/05/2024 13:32:00,B) un poco frecuente,E) En desacuerdo,A) De acuerdo,C) Mas o Menos,C) Mas o Menos,D) un poco en desacuerdo,B) un poco de acuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
23/05/2024 13:33:44,C) Mas o Menos,C) Mas o Menos,A) De acuerdo,B) un poco de acuerdo,C) Mas o Menos,E) En desacuerdo,A) De acuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
23/05/2024 13:34:10,A) frecuentemente,C) Mas o Menos,A) De acuerdo,D) un poco en desacuerdo,C) Mas o Menos,B) un poco de acuerdo,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos
23/05/2024 13:36:13,A) frecuentemente,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,C) Mas o Menos,B) un poco de acuerdo,C) Mas o Menos,C) Mas o Menos,A) De acuerdo,B) un poco de acuerdo
23/05/2024 13:37:55,D) algunas veces,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,C) Mas o Menos,C) Mas o Menos
23/05/2024 13:39:41,C) Mas o Menos,C) Mas o Menos,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
23/05/2024 13:40:32,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,A) De acuerdo,,D) un poco en desacuerdo,D) un poco en desacuerdo,D) un poco en desacuerdo,D) un poco en desacuerdo,D) un poco en desacuerdo
23/05/2024 13:41:44,C) Mas o Menos,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,C) Mas o Menos,C) Mas o Menos,B) un poco de acuerdo,B) un poco de acuerdo
23/05/2024 13:42:01,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos,C) Mas o Menos
23/05/2024 13:42:51,B) un poco frecuente,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,A) De acuerdo,C) Mas o Menos,C) Mas o Menos
23/05/2024 13:43:41,C) Mas o Menos,D) un poco en desacuerdo,B) un poco de acuerdo,A) De acuerdo,C) Mas o Menos,E) En desacuerdo,A) De acuerdo,A) De acuerdo,A) De acuerdo,C) Mas o Menos
23/05/2024 13:44:32,E) casi nunca,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,C) Mas o Menos,D) un poco en desacuerdo,B) un poco de acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,C) Mas o Menos
23/05/2024 13:45:05,B) un poco frecuente,B) un poco de acuerdo,E) En desacuerdo,A) De acuerdo,B) un poco de acuerdo,D) un poco en desacuerdo,A) De acuerdo,A) De acuerdo,D) un poco en desacuerdo,C) Mas o Menos
23/05/2024 13:45:59,A) frecuentemente,E) En desacuerdo,A) De acuerdo,A) De acuerdo,D) un poco en desacuerdo,B) un poco de acuerdo,A) De acuerdo,A) De acuerdo,B) un poco de acuerdo,B) un poco de acuerdo
